n_snps,panel,reductor,classifier,fold,acc,f1,mcc
5,stat,RF,RF,0,0.6138613861386139,0.5442752970949268,0.4119502895177586
5,stat,RF,XGB,0,0.6138613861386139,0.5442752970949268,0.4119502895177586
5,stat,RF,LR,0,0.6138613861386139,0.5442752970949268,0.4119502895177586
5,stat,RF,SVM_RBF,0,0.6138613861386139,0.5442752970949268,0.4119502895177586
5,stat,RF,SVM_Lin,0,0.6138613861386139,0.5442752970949268,0.4119502895177586
5,stat,RF,GBM,0,0.6138613861386139,0.5442752970949268,0.4119502895177586
5,stat,RF,RF,1,0.6633663366336634,0.6064061283731589,0.47217163099164144
5,stat,RF,XGB,1,0.6534653465346535,0.5977205571971296,0.4559449203421071
5,stat,RF,LR,1,0.6732673267326733,0.6258050840444723,0.487878463532235
5,stat,RF,SVM_RBF,1,0.693069306930693,0.6532732085089697,0.5219260150466066
5,stat,RF,SVM_Lin,1,0.6831683168316832,0.643934679182204,0.503492107486773
5,stat,RF,GBM,1,0.6435643564356436,0.5889305385388037,0.43976081354497887
5,stat,RF,RF,2,0.7128712871287128,0.6481648164816481,0.575044319377085
5,stat,RF,XGB,2,0.7227722772277227,0.6571285089077337,0.5901006287136337
5,stat,RF,LR,2,0.7227722772277227,0.6571285089077337,0.5901006287136337
5,stat,RF,SVM_RBF,2,0.7227722772277227,0.6571285089077337,0.5901006287136337
5,stat,RF,SVM_Lin,2,0.7029702970297029,0.6261357128387757,0.5549485095685324
5,stat,RF,GBM,2,0.7227722772277227,0.6571285089077337,0.5901006287136337
5,stat,RF,RF,3,0.6732673267326733,0.6351595159515951,0.4859889726547956
5,stat,RF,XGB,3,0.6831683168316832,0.6446723486781668,0.5039404605878763
5,stat,RF,LR,3,0.693069306930693,0.6541708720084098,0.5221848789443738
5,stat,RF,SVM_RBF,3,0.6732673267326733,0.6351595159515951,0.4859889726547956
5,stat,RF,SVM_Lin,3,0.693069306930693,0.6541708720084098,0.5221848789443738
5,stat,RF,GBM,3,0.6732673267326733,0.6371731403909622,0.4856958044032568
5,stat,RF,RF,4,0.58,0.5426884862653418,0.3747812101741432
5,stat,RF,XGB,4,0.58,0.5446993755575379,0.3772623678578668
5,stat,RF,LR,4,0.56,0.5272285213325542,0.3272240658726202
5,stat,RF,SVM_RBF,4,0.58,0.5446993755575379,0.3772623678578668
5,stat,RF,SVM_Lin,4,0.59,0.5535252100840335,0.4039092851750993
5,stat,RF,GBM,4,0.58,0.5426884862653418,0.3747812101741432
5,stat,LR,RF,0,0.6336633663366337,0.5919210729927096,0.42011563039643374
5,stat,LR,XGB,0,0.6336633663366337,0.5919210729927096,0.42011563039643374
5,stat,LR,LR,0,0.6435643564356436,0.5964878666084431,0.4359181210189601
5,stat,LR,SVM_RBF,0,0.6336633663366337,0.5919210729927096,0.42011563039643374
5,stat,LR,SVM_Lin,0,0.6336633663366337,0.5615176902305615,0.4224562696270649
5,stat,LR,GBM,0,0.6336633663366337,0.5919210729927096,0.42011563039643374
5,stat,LR,RF,1,0.5643564356435643,0.5358535853585359,0.29944723053725003
5,stat,LR,XGB,1,0.5643564356435643,0.5358535853585359,0.29944723053725003
5,stat,LR,LR,1,0.6534653465346535,0.6301796846351302,0.4487714878376953
5,stat,LR,SVM_RBF,1,0.594059405940594,0.5818112313161817,0.3523495102228628
5,stat,LR,SVM_Lin,1,0.6336633663366337,0.6063956079152218,0.4158944045389123
5,stat,LR,GBM,1,0.5643564356435643,0.5358535853585359,0.29944723053725003
5,stat,LR,RF,2,0.7128712871287128,0.658371892991455,0.5524051341009671
5,stat,LR,XGB,2,0.7128712871287128,0.6693467726395348,0.5497308338668931
5,stat,LR,LR,2,0.7128712871287128,0.6602454308491603,0.550933866358482
5,stat,LR,SVM_RBF,2,0.7128712871287128,0.658371892991455,0.5524051341009671
5,stat,LR,SVM_Lin,2,0.7128712871287128,0.6602454308491603,0.550933866358482
5,stat,LR,GBM,2,0.7029702970297029,0.6738268600236913,0.5306639520071353
5,stat,LR,RF,3,0.6732673267326733,0.5990403918440623,0.49183655468245935
5,stat,LR,XGB,3,0.6732673267326733,0.5990403918440623,0.49183655468245935
5,stat,LR,LR,3,0.6732673267326733,0.5990403918440623,0.49183655468245935
5,stat,LR,SVM_RBF,3,0.6732673267326733,0.5990403918440623,0.49183655468245935
5,stat,LR,SVM_Lin,3,0.6732673267326733,0.5990403918440623,0.49183655468245935
5,stat,LR,GBM,3,0.6732673267326733,0.5990403918440623,0.49183655468245935
5,stat,LR,RF,4,0.7,0.6808795518207283,0.5398550713454128
5,stat,LR,XGB,4,0.69,0.6712090695290358,0.5253713805819434
5,stat,LR,LR,4,0.69,0.6713114329541605,0.5200894520277778
5,stat,LR,SVM_RBF,4,0.67,0.6286146575928087,0.49508782360732956
5,stat,LR,SVM_Lin,4,0.67,0.640323618410575,0.49416069670326135
5,stat,LR,GBM,4,0.69,0.6712090695290358,0.5253713805819434
5,stat,EN,RF,0,0.6336633663366337,0.6297087669410949,0.4249372028500434
5,stat,EN,XGB,0,0.5544554455445545,0.5546846071042564,0.3090981713501014
5,stat,EN,LR,0,0.6237623762376238,0.5959995526739436,0.3989239336422063
5,stat,EN,SVM_RBF,0,0.6039603960396039,0.5380858085808581,0.36994407211986186
5,stat,EN,SVM_Lin,0,0.594059405940594,0.5262490508172187,0.3490873845399299
5,stat,EN,GBM,0,0.5841584158415841,0.579105607502363,0.34859775967139645
5,stat,EN,RF,1,0.6732673267326733,0.6500710414573491,0.48215944506247665
5,stat,EN,XGB,1,0.6633663366336634,0.6416220116635319,0.46566393898357966
5,stat,EN,LR,1,0.6732673267326733,0.5976304947567928,0.4887676151883833
5,stat,EN,SVM_RBF,1,0.6633663366336634,0.6182682377454942,0.46591069691032566
5,stat,EN,SVM_Lin,1,0.6237623762376238,0.5577233949810075,0.40732559881893743
5,stat,EN,GBM,1,0.6534653465346535,0.6331032110655235,0.44929774659223326
5,stat,EN,RF,2,0.6237623762376238,0.6150370027928382,0.4166652389901873
5,stat,EN,XGB,2,0.6039603960396039,0.6020749550848449,0.39014344202854223
5,stat,EN,LR,2,0.6039603960396039,0.6046513587528966,0.3982317625200351
5,stat,EN,SVM_RBF,2,0.594059405940594,0.5966470857981285,0.3801168043090479
5,stat,EN,SVM_Lin,2,0.5841584158415841,0.5885084785470357,0.3726516740333452
5,stat,EN,GBM,2,0.594059405940594,0.5913048074358099,0.3759171513182099
5,stat,EN,RF,3,0.6138613861386139,0.5428171849443009,0.3838458825830967
5,stat,EN,XGB,3,0.6336633663366337,0.5617024370735726,0.4189190765594241
5,stat,EN,LR,3,0.6534653465346535,0.5804254946849619,0.454852639037388
5,stat,EN,SVM_RBF,3,0.6138613861386139,0.5428171849443009,0.3838458825830967
5,stat,EN,SVM_Lin,3,0.6831683168316832,0.6083241657499083,0.5107872118037269
5,stat,EN,GBM,3,0.6138613861386139,0.5428171849443009,0.3838458825830967
5,stat,EN,RF,4,0.69,0.6708020104895105,0.5498863191587927
5,stat,EN,XGB,4,0.69,0.6708020104895105,0.5498863191587927
5,stat,EN,LR,4,0.71,0.6930920060331824,0.5558640120497025
5,stat,EN,SVM_RBF,4,0.69,0.6708020104895105,0.5498863191587927
5,stat,EN,SVM_Lin,4,0.73,0.7106635632408829,0.5796417591191859
5,stat,EN,GBM,4,0.71,0.6930920060331824,0.5558640120497025
5,FST,RF,RF,0,0.6039603960396039,0.5362765784775199,0.4147619513296601
5,FST,RF,XGB,0,0.6039603960396039,0.5362765784775199,0.4147619513296601
5,FST,RF,LR,0,0.6138613861386139,0.5465647133973359,0.4299943387112239
5,FST,RF,SVM_RBF,0,0.6039603960396039,0.5362765784775199,0.4147619513296601
5,FST,RF,SVM_Lin,0,0.6138613861386139,0.5465647133973359,0.4299943387112239
5,FST,RF,GBM,0,0.6039603960396039,0.5362765784775199,0.4147619513296601
5,FST,RF,RF,1,0.6237623762376238,0.5709005816969657,0.4044119538807983
5,FST,RF,XGB,1,0.6435643564356436,0.5878106115509735,0.43528525682816116
5,FST,RF,LR,1,0.6435643564356436,0.5725028199022434,0.43803245476831765
5,FST,RF,SVM_RBF,1,0.6534653465346535,0.5816714606486788,0.45697838020718334
5,FST,RF,SVM_Lin,1,0.6435643564356436,0.5725028199022434,0.43803245476831765
5,FST,RF,GBM,1,0.6138613861386139,0.5465346534653466,0.3877892856691353
5,FST,RF,RF,2,0.6732673267326733,0.628961797278629,0.4850894381341893
5,FST,RF,XGB,2,0.6732673267326733,0.628961797278629,0.4850894381341893
5,FST,RF,LR,2,0.693069306930693,0.6398968252068759,0.5233478161010339
5,FST,RF,SVM_RBF,2,0.6831683168316832,0.6227136414774105,0.507198685512505
5,FST,RF,SVM_Lin,2,0.6831683168316832,0.6196515579159726,0.5080687175312231
5,FST,RF,GBM,2,0.6732673267326733,0.6317631763176317,0.48499428749591417
5,FST,RF,RF,3,0.6435643564356436,0.6082679696541082,0.4712990262555188
5,FST,RF,XGB,3,0.6435643564356436,0.6082679696541082,0.4712990262555188
5,FST,RF,LR,3,0.6138613861386139,0.5690851471607928,0.40421191137555756
5,FST,RF,SVM_RBF,3,0.6435643564356436,0.6082679696541082,0.4712990262555188
5,FST,RF,SVM_Lin,3,0.6336633663366337,0.5992438796118418,0.4485740442299797
5,FST,RF,GBM,3,0.6336633663366337,0.6013561356135614,0.449497822899583
5,FST,RF,RF,4,0.58,0.5426884862653418,0.3747812101741432
5,FST,RF,XGB,4,0.59,0.5535252100840335,0.4039092851750993
5,FST,RF,LR,4,0.59,0.5591904761904761,0.36985927366782223
5,FST,RF,SVM_RBF,4,0.58,0.5446993755575379,0.3772623678578668
5,FST,RF,SVM_Lin,4,0.58,0.5446993755575379,0.3772623678578668
5,FST,RF,GBM,4,0.59,0.5513710747456878,0.40140276133655134
5,FST,LR,RF,0,0.6039603960396039,0.5345764362487929,0.42689824187529285
5,FST,LR,XGB,0,0.6039603960396039,0.5345764362487929,0.42689824187529285
5,FST,LR,LR,0,0.5742574257425742,0.5070089617657417,0.3338884147686148
5,FST,LR,SVM_RBF,0,0.6039603960396039,0.5345764362487929,0.42689824187529285
5,FST,LR,SVM_Lin,0,0.5544554455445545,0.48837579410114923,0.29485747739404294
5,FST,LR,GBM,0,0.6039603960396039,0.5345764362487929,0.42689824187529285
5,FST,LR,RF,1,0.6633663366336634,0.6348349120626348,0.46725989006657664
5,FST,LR,XGB,1,0.6633663366336634,0.6348349120626348,0.46725989006657664
5,FST,LR,LR,1,0.6732673267326733,0.6345902282535946,0.48538577210505096
5,FST,LR,SVM_RBF,1,0.6732673267326733,0.6351377315949417,0.4875170545246045
5,FST,LR,SVM_Lin,1,0.6336633663366337,0.5778190587693492,0.4186782528808271
5,FST,LR,GBM,1,0.6534653465346535,0.6170022546809136,0.4531080940026023
5,FST,LR,RF,2,0.6237623762376238,0.5883275583395184,0.4364417096591126
5,FST,LR,XGB,2,0.6237623762376238,0.5883275583395184,0.4364417096591126
5,FST,LR,LR,2,0.6039603960396039,0.5711958387957022,0.38645260580784524
5,FST,LR,SVM_RBF,2,0.6237623762376238,0.5883275583395184,0.4364417096591126
5,FST,LR,SVM_Lin,2,0.6237623762376238,0.5883275583395184,0.4364417096591126
5,FST,LR,GBM,2,0.6237623762376238,0.5883275583395184,0.4364417096591126
5,FST,LR,RF,3,0.49504950495049505,0.423563229188194,0.22773110862182358
5,FST,LR,XGB,3,0.49504950495049505,0.423563229188194,0.22773110862182358
5,FST,LR,LR,3,0.49504950495049505,0.4211221122112211,0.23530684985393105
5,FST,LR,SVM_RBF,3,0.49504950495049505,0.423563229188194,0.22773110862182358
5,FST,LR,SVM_Lin,3,0.504950495049505,0.43132608342801493,0.2542549404038874
5,FST,LR,GBM,3,0.49504950495049505,0.423563229188194,0.22773110862182358
5,FST,LR,RF,4,0.58,0.5446993755575379,0.3772623678578668
5,FST,LR,XGB,4,0.58,0.5446993755575379,0.3772623678578668
5,FST,LR,LR,4,0.56,0.5272285213325542,0.3272240658726202
5,FST,LR,SVM_RBF,4,0.58,0.5446993755575379,0.3772623678578668
5,FST,LR,SVM_Lin,4,0.59,0.5535252100840335,0.4039092851750993
5,FST,LR,GBM,4,0.58,0.5446993755575379,0.3772623678578668
5,FST,EN,RF,0,0.6336633663366337,0.6358635863586359,0.42642188179697865
5,FST,EN,XGB,0,0.6435643564356436,0.6445367778273903,0.44176287722126656
5,FST,EN,LR,0,0.6336633663366337,0.6280804804312484,0.4233106198773089
5,FST,EN,SVM_RBF,0,0.693069306930693,0.6312751490230318,0.5357869924741954
5,FST,EN,SVM_Lin,0,0.7029702970297029,0.6430204090643179,0.5458073925375205
5,FST,EN,GBM,0,0.6435643564356436,0.6438605399001438,0.4408733550534163
5,FST,EN,RF,1,0.6138613861386139,0.568279065019904,0.3985988496113118
5,FST,EN,XGB,1,0.6138613861386139,0.568279065019904,0.3985988496113118
5,FST,EN,LR,1,0.693069306930693,0.6532732085089697,0.5219260150466066
5,FST,EN,SVM_RBF,1,0.6138613861386139,0.568279065019904,0.3985988496113118
5,FST,EN,SVM_Lin,1,0.693069306930693,0.6532732085089697,0.5219260150466066
5,FST,EN,GBM,1,0.5841584158415841,0.5228864230058418,0.3426860206978525
5,FST,EN,RF,2,0.7128712871287128,0.6937421155242938,0.55088396228707
5,FST,EN,XGB,2,0.7128712871287128,0.6937421155242938,0.55088396228707
5,FST,EN,LR,2,0.7128712871287128,0.6928243339797897,0.5497060289673702
5,FST,EN,SVM_RBF,2,0.7128712871287128,0.6937421155242938,0.55088396228707
5,FST,EN,SVM_Lin,2,0.693069306930693,0.6692228389845926,0.528481857964769
5,FST,EN,GBM,2,0.7128712871287128,0.6937421155242938,0.55088396228707
5,FST,EN,RF,3,0.693069306930693,0.6782716315109771,0.5162535009199176
5,FST,EN,XGB,3,0.693069306930693,0.6782716315109771,0.5162535009199176
5,FST,EN,LR,3,0.7029702970297029,0.6291545695922977,0.5569678917546508
5,FST,EN,SVM_RBF,3,0.693069306930693,0.6782716315109771,0.5162535009199176
5,FST,EN,SVM_Lin,3,0.7128712871287128,0.638512983373809,0.578160351786431
5,FST,EN,GBM,3,0.693069306930693,0.6782716315109771,0.5162535009199176
5,FST,EN,RF,4,0.69,0.6559622641509434,0.5317169474312338
5,FST,EN,XGB,4,0.69,0.6559622641509434,0.5317169474312338
5,FST,EN,LR,4,0.68,0.6318618593463927,0.5163362885999355
5,FST,EN,SVM_RBF,4,0.69,0.6691206351916673,0.5330492179621277
5,FST,EN,SVM_Lin,4,0.67,0.6240445134575568,0.49214098547550034
5,FST,EN,GBM,4,0.69,0.6559622641509434,0.5317169474312338
5,fst_stat,RF,RF,0,0.6732673267326733,0.6190352142010318,0.4906843020602273
5,fst_stat,RF,XGB,0,0.6732673267326733,0.6190352142010318,0.4906843020602273
5,fst_stat,RF,LR,0,0.6831683168316832,0.6091736720841896,0.5161133083316197
5,fst_stat,RF,SVM_RBF,0,0.6831683168316832,0.6091736720841896,0.5161133083316197
5,fst_stat,RF,SVM_Lin,0,0.6831683168316832,0.6091736720841896,0.5161133083316197
5,fst_stat,RF,GBM,0,0.6732673267326733,0.6190352142010318,0.4906843020602273
5,fst_stat,RF,RF,1,0.6732673267326733,0.6452942790597175,0.4832878540165202
5,fst_stat,RF,XGB,1,0.6534653465346535,0.6121601171106122,0.4511482997541733
5,fst_stat,RF,LR,1,0.6435643564356436,0.5919653375825827,0.4335197411443993
5,fst_stat,RF,SVM_RBF,1,0.6732673267326733,0.6468906989221089,0.4843110756070477
5,fst_stat,RF,SVM_Lin,1,0.6336633663366337,0.5854640409095855,0.4165713435995553
5,fst_stat,RF,GBM,1,0.6732673267326733,0.6452942790597175,0.4832878540165202
5,fst_stat,RF,RF,2,0.6336633663366337,0.562439799535509,0.41876847389638183
5,fst_stat,RF,XGB,2,0.6336633663366337,0.562439799535509,0.41876847389638183
5,fst_stat,RF,LR,2,0.6336633663366337,0.562439799535509,0.41876847389638183
5,fst_stat,RF,SVM_RBF,2,0.6336633663366337,0.562439799535509,0.41876847389638183
5,fst_stat,RF,SVM_Lin,2,0.6237623762376238,0.5539162827173807,0.40169201566057855
5,fst_stat,RF,GBM,2,0.6237623762376238,0.5539162827173807,0.40169201566057855
5,fst_stat,RF,RF,3,0.6138613861386139,0.5485123160203343,0.40602353009893677
5,fst_stat,RF,XGB,3,0.6237623762376238,0.5574728901461574,0.42812001172720915
5,fst_stat,RF,LR,3,0.6237623762376238,0.5574728901461574,0.42812001172720915
5,fst_stat,RF,SVM_RBF,3,0.6138613861386139,0.5485123160203343,0.40602353009893677
5,fst_stat,RF,SVM_Lin,3,0.6237623762376238,0.5574728901461574,0.42812001172720915
5,fst_stat,RF,GBM,3,0.6138613861386139,0.5485123160203343,0.40602353009893677
5,fst_stat,RF,RF,4,0.7,0.6662069339111593,0.5435918151629004
5,fst_stat,RF,XGB,4,0.71,0.6755242718446601,0.5583065249323833
5,fst_stat,RF,LR,4,0.71,0.6755242718446601,0.5583065249323833
5,fst_stat,RF,SVM_RBF,4,0.68,0.6489208356239692,0.5178168249236046
5,fst_stat,RF,SVM_Lin,4,0.71,0.6755242718446601,0.5583065249323833
5,fst_stat,RF,GBM,4,0.69,0.6567619047619047,0.5289336124293609
5,fst_stat,LR,RF,0,0.46534653465346537,0.42902515012002307,0.13735822920443022
5,fst_stat,LR,XGB,0,0.45544554455445546,0.42120896300156335,0.11789112493451855
5,fst_stat,LR,LR,0,0.45544554455445546,0.42120896300156335,0.11789112493451855
5,fst_stat,LR,SVM_RBF,0,0.45544554455445546,0.42120896300156335,0.11789112493451855
5,fst_stat,LR,SVM_Lin,0,0.46534653465346537,0.4365627309908696,0.13922729633878983
5,fst_stat,LR,GBM,0,0.45544554455445546,0.42120896300156335,0.11789112493451855
5,fst_stat,LR,RF,1,0.5148514851485149,0.459605624427989,0.20946872208516445
5,fst_stat,LR,XGB,1,0.5247524752475248,0.4681341920599827,0.22727582927671877
5,fst_stat,LR,LR,1,0.5346534653465347,0.5060750387064709,0.2510709828674245
5,fst_stat,LR,SVM_RBF,1,0.5247524752475248,0.4641437477081041,0.22442771596034164
5,fst_stat,LR,SVM_Lin,1,0.5346534653465347,0.4712871287128713,0.2435288147572286
5,fst_stat,LR,GBM,1,0.5148514851485149,0.459605624427989,0.20946872208516445
5,fst_stat,LR,RF,2,0.5742574257425742,0.5089679699677285,0.3125879965801509
5,fst_stat,LR,XGB,2,0.5742574257425742,0.5089679699677285,0.3125879965801509
5,fst_stat,LR,LR,2,0.5643564356435643,0.5350925873100667,0.2995597430723132
5,fst_stat,LR,SVM_RBF,2,0.5346534653465347,0.4717746811320115,0.24495777067909913
5,fst_stat,LR,SVM_Lin,2,0.5643564356435643,0.527291289325052,0.2984963803802135
5,fst_stat,LR,GBM,2,0.5643564356435643,0.5030530927657226,0.2953539665369303
